dataset,model,accuracy_cv,precision_cv,precision_illicit_cv,recall_cv,recall_illicit_cv,f1_cv,f1_illicit_cv,roc_auc_cv,PRAUC_cv,kappa_cv
IBM_AML_LiSmall,RF,0.05063714259052068,0.00019312685784531074,0.7728103797032302,0.05063714259052068,0.38243833981438063,0.026087422863091143,0.7641057334729173,0.12185838656220609,4.757662250717994,0.8324564902705096
IBM_AML_LiSmall,SVM,3.795649795607336e-14,4.520897072078754e-14,3.91205825518827e-14,3.795649795607336e-14,4.771118089131569e-14,4.792236598443477e-14,3.9369078285691615e-14,0.0,0.0,0.0
IBM_AML_LiSmall,XGB,6.810376994312582e-14,0.0,5.1709877341487755e-14,6.810376994312582e-14,2.0219481930436503e-14,4.531523532238713e-14,1.976406102180048e-14,1.3922973894494991e-14,0.0,2.0423509175733836e-14
IBM_AML_HiMedium,MLP,77.18228208452774,61.33312397129897,51.11838693159243,77.18228208452774,132.04317088444122,77.12804028519274,36.6078080745897,23.137541723316858,25.3642212657977,84.25996213716009
IBM_AML_HiMedium,GCN,276.44315317172794,56.11081060703843,9.48904545389531,276.44315317172794,28.405346959684962,258.88202200156604,9.311609801992685,19.362389139683195,22.849184255275695,497.1571728954354
IBM_AML_HiMedium,GAT,87.96803514456188,18.88701748158984,118.6321038226757,87.96803514456188,112.9195875226191,87.200700262977,25.011564280122496,22.824891290760764,116.36466514160956,2722.404971552186
IBM_AML_HiMedium,GIN,2.3927508224703185,0.0019193144194323997,27.60241235397867,2.3927508224703185,115.98260205964237,1.215011783006075,14.387255345881925,8.00641741795534,20.408884518824383,21.077428068726704
IBM_AML_HiMedium,RF,0.06478567154749208,7.365022971569262e-05,0.8309545903101087,0.06478567154749208,0.17650085429611473,0.033467257166578064,0.8215974400724034,0.07092892748785043,4.084536968449218,0.9001240993390006
IBM_AML_HiMedium,SVM,0.0,4.525487969417335e-14,2.346778515238097e-14,0.0,5.1148619141304064e-14,1.1938205241199037e-14,3.58010756091336e-14,3.7242619139500884e-14,0.0,0.0
IBM_AML_HiMedium,XGB,6.821749254891511e-14,4.528355404696179e-14,6.493016646753403e-14,6.821749254891511e-14,5.482757923830911e-14,3.4040941204246514e-14,1.641275699590112e-14,2.4694389783904213e-14,0.0,8.315634251297835e-14
IBM_AML_LiMedium,MLP,82.88549406005397,56.11095610450961,55.39949108450294,82.88549406005397,123.04097463887187,82.89723332889113,38.087100506254366,25.476740246669987,27.38575428976186,93.90140194431731
IBM_AML_LiMedium,GCN,430.8438186964693,77.38930267180089,10.36910944955985,430.8438186964693,9.586325844394237,388.832197448958,10.330105624464872,19.894854702107075,17.876309992975816,511.1179803868894
IBM_AML_LiMedium,GAT,59.75769025862056,88.95857989380798,0.05114839278711715,59.75769025862056,0.09138923047719476,195.47715351584122,0.05116590951845483,10.993305658254407,20.888298177204984,177.651410285616
IBM_AML_LiMedium,GIN,77.76734776236455,50.85498238567661,36.05849720834906,77.76734776236455,93.12456667567984,77.48829350500321,35.541474102638226,18.697190758653896,19.05753352669306,185.27938825675844
IBM_AML_LiMedium,RF,0.04733333972362127,4.236302214462199e-05,0.6505228045200839,0.04733333972362127,0.10188580533232758,0.024441788074768038,0.6435087894517909,0.041139565704882024,2.6324432292113396,0.7042677242441345
IBM_AML_LiMedium,SVM,3.560882888330672e-14,6.782437987408676e-14,6.57496391524805e-14,3.560882888330672e-14,5.3911616048271125e-14,3.4764024964530254e-14,0.0,2.7092333028947697e-14,0.0,0.0
IBM_AML_LiMedium,XGB,7.976780751506114e-14,4.5218189691401634e-14,3.596173112657045e-14,7.976780751506114e-14,4.100062523074081e-14,3.405170523341688e-14,3.8524270203491755e-14,6.794912181074336e-14,0.0,0.0
